,title,artist,genre,year,bpm,energy,dance,dB,duration,popularity
1,"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,217,83
2,Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,263,82
3,TiK ToK,Kesha,dance pop,2010,120,84,76,-3,200,80
4,Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,295,79
5,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,221,78
6,Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,214,77
7,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,203,77
8,Secrets,OneRepublic,dance pop,2010,148,76,52,-6,225,77
9,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,216,76
10,Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,235,73
11,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,235,73
12,Marry You,Bruno Mars,pop,2010,145,83,62,-5,230,73
13,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,213,73
14,Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,221,73
15,Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,217,72
16,OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,269,72
17,Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,202,71
18,The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,308,70
19,Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,274,69
20,Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,187,69
21,Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,284,68
22,Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,227,66
23,Take It Off,Kesha,dance pop,2010,125,68,73,-5,215,66
24,Misery,Maroon 5,pop,2010,103,81,70,-5,216,65
25,All The Right Moves,OneRepublic,dance pop,2010,146,95,53,-4,238,65
26,Animal,Neon Trees,indie pop,2010,148,83,48,-6,212,65
27,Naturally,Selena Gomez & The Scene,dance pop,2010,133,90,61,-5,203,64
28,I Like It,Enrique Iglesias,dance pop,2010,129,94,65,-3,231,63
29,Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,228,63
30,California Gurls,Katy Perry,dance pop,2010,125,75,79,-4,235,62
31,3,Britney Spears,dance pop,2010,135,71,70,-2,213,62
32,My First Kiss - feat. Ke$ha,3OH!3,dance pop,2010,138,89,68,-4,192,62
33,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,120,84,75,-3,172,62
34,Imma Be,The Black Eyed Peas,dance pop,2010,92,52,60,-7,258,62
35,Try Sleeping with a Broken Heart,Alicia Keys,hip pop,2010,111,82,50,-5,249,62
36,Sexy Bitch (feat. Akon),David Guetta,dance pop,2010,130,63,81,-5,196,61
37,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,164,41,29,-5,264,61
38,If I Had You,Adam Lambert,australian pop,2010,131,91,65,-4,228,59
39,Rock That Body,The Black Eyed Peas,dance pop,2010,125,91,72,-6,269,59
40,Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,50,-5,253,58
41,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,2010,150,85,51,-4,185,58
42,Doesn't Mean Anything,Alicia Keys,hip pop,2010,104,41,71,-7,273,57
43,Hard,Rihanna,barbadian pop,2010,182,75,31,-4,251,57
44,Loca,Shakira,colombian pop,2010,112,87,80,-4,193,56
